date,china_leading_indicator
2000-01-01,99.51236
2000-02-01,99.5497
2000-03-01,99.59243
2000-04-01,99.63717
2000-05-01,99.67848
2000-06-01,99.70702
2000-07-01,99.71297
2000-08-01,99.68712
2000-09-01,99.62679
2000-10-01,99.5373
2000-11-01,99.42642
2000-12-01,99.3045
2001-01-01,99.18707
2001-02-01,99.0933
2001-03-01,99.00737
2001-04-01,98.91853
2001-05-01,98.82204
2001-06-01,98.71735
2001-07-01,98.60632
2001-08-01,98.49334
2001-09-01,98.38234
2001-10-01,98.27872
2001-11-01,98.19167
2001-12-01,98.1312
2002-01-01,98.10545
2002-02-01,98.12224
2002-03-01,98.1838
2002-04-01,98.2729
2002-05-01,98.37316
2002-06-01,98.4747
2002-07-01,98.57719
2002-08-01,98.68022
2002-09-01,98.78387
2002-10-01,98.88583
2002-11-01,98.98541
2002-12-01,99.08094
2003-01-01,99.16666
2003-02-01,99.23329
2003-03-01,99.29482
2003-04-01,99.36496
2003-05-01,99.45505
2003-06-01,99.56976
2003-07-01,99.70474
2003-08-01,99.85401
2003-09-01,100.0113
2003-10-01,100.1695
2003-11-01,100.3167
2003-12-01,100.4388
2004-01-01,100.5211
2004-02-01,100.549
2004-03-01,100.5115
2004-04-01,100.4302
2004-05-01,100.3275
2004-06-01,100.2253
2004-07-01,100.1366
2004-08-01,100.0638
2004-09-01,100.0045
2004-10-01,99.95585
2004-11-01,99.91373
2004-12-01,99.87733
2005-01-01,99.84731
2005-02-01,99.82623
2005-03-01,99.82233
2005-04-01,99.83214
2005-05-01,99.85204
2005-06-01,99.88409
2005-07-01,99.92923
2005-08-01,99.98127
2005-09-01,100.0327
2005-10-01,100.0782
2005-11-01,100.113
2005-12-01,100.137
2006-01-01,100.1565
2006-02-01,100.1831
2006-03-01,100.2019
2006-04-01,100.2154
2006-05-01,100.2264
2006-06-01,100.2395
2006-07-01,100.2605
2006-08-01,100.2966
2006-09-01,100.3524
2006-10-01,100.4302
2006-11-01,100.5274
2006-12-01,100.6375
2007-01-01,100.7516
2007-02-01,100.8561
2007-03-01,100.9597
2007-04-01,101.0646
2007-05-01,101.1691
2007-06-01,101.2721
2007-07-01,101.3715
2007-08-01,101.4677
2007-09-01,101.5569
2007-10-01,101.6298
2007-11-01,101.6764
2007-12-01,101.6857
2008-01-01,101.6475
2008-02-01,101.5513
2008-03-01,101.3978
2008-04-01,101.1824
2008-05-01,100.9029
2008-06-01,100.5605
2008-07-01,100.1628
2008-08-01,99.72846
2008-09-01,99.28552
2008-10-01,98.86609
2008-11-01,98.5074
2008-12-01,98.24178
2009-01-01,98.08645
2009-02-01,98.04977
2009-03-01,98.12121
2009-04-01,98.27318
2009-05-01,98.48052
2009-06-01,98.71577
2009-07-01,98.95419
2009-08-01,99.18111
2009-09-01,99.3871
2009-10-01,99.56491
2009-11-01,99.71082
2009-12-01,99.82296
2010-01-01,99.90297
2010-02-01,99.95171
2010-03-01,99.97862
2010-04-01,99.98843
2010-05-01,99.98685
2010-06-01,99.98346
2010-07-01,99.99136
2010-08-01,100.0186
2010-09-01,100.0684
2010-10-01,100.1424
2010-11-01,100.2391
2010-12-01,100.3526
2011-01-01,100.476
2011-02-01,100.5976
2011-03-01,100.7097
2011-04-01,100.8068
2011-05-01,100.8842
2011-06-01,100.9397
2011-07-01,100.9716
2011-08-01,100.9805
2011-09-01,100.9684
2011-10-01,100.9381
2011-11-01,100.8936
2011-12-01,100.8393
2012-01-01,100.7789
2012-02-01,100.7171
2012-03-01,100.6568
2012-04-01,100.599
2012-05-01,100.5461
2012-06-01,100.4994
2012-07-01,100.4598
2012-08-01,100.4289
2012-09-01,100.4078
2012-10-01,100.396
2012-11-01,100.3923
2012-12-01,100.3954
2013-01-01,100.4037
2013-02-01,100.4173
2013-03-01,100.4361
2013-04-01,100.4599
2013-05-01,100.4883
2013-06-01,100.5205
2013-07-01,100.5553
2013-08-01,100.5897
2013-09-01,100.6201
2013-10-01,100.6448
2013-11-01,100.6623
2013-12-01,100.6724
2014-01-01,100.6763
2014-02-01,100.6754
2014-03-01,100.67
2014-04-01,100.6587
2014-05-01,100.6413
2014-06-01,100.6177
2014-07-01,100.588
2014-08-01,100.5522
2014-09-01,100.5119
2014-10-01,100.4666
2014-11-01,100.4171
2014-12-01,100.3642
2015-01-01,100.3079
2015-02-01,100.2493
2015-03-01,100.1901
2015-04-01,100.1321
2015-05-01,100.0762
2015-06-01,100.0223
2015-07-01,99.96992
2015-08-01,99.91999
2015-09-01,99.87284
2015-10-01,99.82841
2015-11-01,99.78668
2015-12-01,99.74709
2016-01-01,99.70938
2016-02-01,99.67372
2016-03-01,99.6405
2016-04-01,99.60961
2016-05-01,99.58158
2016-06-01,99.55701
2016-07-01,99.53632
2016-08-01,99.51974
2016-09-01,99.50748
2016-10-01,99.50003
2016-11-01,99.49773
2016-12-01,99.50047
2017-01-01,99.50772
2017-02-01,99.51815
2017-03-01,99.5298
2017-04-01,99.54021
2017-05-01,99.54797
2017-06-01,99.55186
2017-07-01,99.5506
2017-08-01,99.54439
2017-09-01,99.53383
2017-10-01,99.51942
2017-11-01,99.50172
2017-12-01,99.48119
2018-01-01,99.45776
2018-02-01,99.43074
2018-03-01,99.39937
2018-04-01,99.36325
2018-05-01,99.32135
2018-06-01,99.27317
2018-07-01,99.21904
2018-08-01,99.15951
2018-09-01,99.09523
2018-10-01,99.02733
2018-11-01,98.95729
2018-12-01,98.88718
2019-01-01,98.81869
2019-02-01,98.75339
2019-03-01,98.69279
2019-04-01,98.63831
2019-05-01,98.59405
2019-06-01,98.5649
2019-07-01,98.55651
2019-08-01,98.5763
2019-09-01,98.63177
2019-10-01,98.72908
2019-11-01,98.87386
2019-12-01,99.06806
2020-01-01,99.30965
2020-02-01,85.39336
2020-03-01,99.89617
2020-04-01,100.2161
2020-05-01,100.5328
2020-06-01,100.8317
2020-07-01,101.1009
2020-08-01,101.3323
2020-09-01,101.5208
2020-10-01,101.6644
2020-11-01,101.765
2020-12-01,101.8262
2021-01-01,101.8519
2021-02-01,101.8456
2021-03-01,101.8099
2021-04-01,101.7473
2021-05-01,101.6606
2021-06-01,101.5531
2021-07-01,101.4291
2021-08-01,101.2945
2021-09-01,101.1554
2021-10-01,101.0182
2021-11-01,100.887
2021-12-01,100.7647
2022-01-01,100.6531
2022-02-01,100.5536
2022-03-01,100.4661
2022-04-01,100.389
2022-05-01,100.3199
2022-06-01,100.2539
2022-07-01,100.1851
2022-08-01,100.1101
2022-09-01,100.0278
2022-10-01,99.93792
2022-11-01,99.84419
2022-12-01,99.75269
2023-01-01,99.66707
2023-02-01,99.58851
2023-03-01,99.51784
2023-04-01,99.45559
2023-05-01,99.40387
2023-06-01,99.36162
2023-07-01,99.32717
2023-08-01,99.30064
2023-09-01,99.28123
2023-10-01,99.26818
2023-11-01,99.26003
2023-12-01,99.25388
